platform,case,requests,errors,spawned,serving_pids,request_starts,request_ends,readable_events,readable_per_second,readable_bins_pct,longest_readable_run_ms,queue_alarm_ms,accepts_observed,event_next_accept_p95_ms,event_nearest_accept_p95_ms,unmatched_events,connect_accept_p95_ms,dispatch_start_p50_ms,dispatch_start_p95_ms,latency_p95_ms,dispatch_lag_p95_ms
windows,php_cgi-r70-w1,140,0,1,1,0,0,41,20.5,100.0,1980.139,145.665,0,,,41,,2398.855,4708.466,4723.243,1.03
windows,php_cgi-r70-w1,140,0,1,1,0,0,41,20.5,100.0,1979.324,146.25,0,,,41,,2398.563,4657.842,4672.203,1.077
windows,php_cgi-r70-w2,140,0,2,2,0,0,40,20.0,100.0,1933.671,164.113,0,,,40,,683.637,1380.244,1406.681,1.022
windows,php_cgi-r70-w2,140,0,2,2,0,0,40,20.0,100.0,1937.005,167.032,0,,,40,,689.652,1364.985,1393.72,0.983
windows,php_cgi-r70-w4,140,0,4,4,0,0,18,9.0,40.0,142.521,1573.353,0,,,18,,2.614,10.495,83.042,1.131
windows,php_cgi-r70-w4,140,0,4,4,0,0,18,9.0,40.0,142.543,530.26,0,,,18,,2.74,11.671,83.132,1.013
windows,python-r10-w1,20,0,1,1,20,20,20,10.0,50.0,0.0,,20,1.118,1.118,0,0.821,2.396,2.562,72.812,0.802
windows,python-r10-w1,20,0,1,1,20,20,20,10.0,50.0,0.0,,20,0.97,0.97,0,0.816,2.809,3.319,74.067,0.776
windows,python-r10-w2,20,0,2,2,20,20,16,8.0,40.0,0.0,,20,0.933,0.933,0,0.785,2.101,2.468,74.482,0.808
windows,python-r10-w2,20,0,2,2,20,20,18,9.0,45.0,0.0,,20,1.177,1.177,0,0.691,2.627,3.172,74.131,0.822
windows,python-r10-w4,20,0,4,4,20,20,16,8.0,40.0,0.0,,20,1.014,1.014,0,0.832,2.293,2.637,74.574,0.734
windows,python-r10-w4,20,0,4,4,20,20,16,8.0,40.0,0.0,,20,0.99,0.99,0,0.819,2.908,3.297,73.466,0.861
windows,python-r70-w1,140,0,1,1,140,140,41,20.5,100.0,1990.942,142.753,140,45.1,30.597,0,3651.768,1867.216,3652.499,3671.716,0.842
windows,python-r70-w1,140,0,1,1,140,140,41,20.5,100.0,1981.855,133.149,140,53.164,32.262,0,3660.687,1871.936,3660.722,3681.544,0.918
windows,python-r70-w2,140,0,2,2,140,140,41,20.5,100.0,1992.465,145.084,140,31.004,18.422,0,844.348,422.932,844.383,877.848,0.774
windows,python-r70-w2,140,0,2,2,140,140,41,20.5,100.0,1987.677,139.636,140,29.39,16.011,0,833.111,417.462,834.58,861.435,0.804
windows,python-r70-w4,140,0,4,4,140,140,40,20.0,97.5,1942.201,143.667,140,0.739,0.739,0,0.599,0.486,1.261,73.081,0.698
windows,python-r70-w4,140,0,4,4,140,140,40,20.0,97.5,1954.933,144.401,140,0.652,0.652,0,0.671,0.812,1.587,73.303,0.737
windows,serial-burst-1,80,0,1,1,80,80,66,19.922,97.015,3232.766,135.446,80,37.292,18.767,0,3097.641,1616.395,3098.596,3145.829,6.655
windows,serial-burst-1,80,0,1,1,80,80,66,19.948,97.015,3232.772,135.12,80,37.329,20.203,0,3093.522,1613.975,3096.356,3143.611,6.957
windows,serial-burst-4,80,0,4,4,80,80,17,20.235,94.118,779.27,131.483,80,33.687,16.658,0,742.666,378.582,754.288,798.499,6.908
windows,serial-burst-4,80,0,4,4,80,80,17,20.361,94.118,779.446,133.038,80,38.587,20.328,0,740.698,378.365,743.144,793.472,9.11
windows,serial-fast-1,400,0,1,1,400,400,1,0.5,2.5,0.0,,400,1.515,1.515,0,0.0,0.0,0.708,2.894,0.706
windows,serial-fast-1,400,0,1,1,400,400,0,0.0,0.0,0.0,,400,,,0,0.0,0.0,0.688,3.004,0.718
windows,serial-load-1,140,0,1,1,140,140,40,20.0,100.0,1945.249,159.2,140,39.76,19.16,0,3585.626,1866.222,3586.357,3628.015,0.933
windows,serial-load-1,140,0,1,1,140,140,40,20.0,100.0,1946.011,160.851,140,37.459,19.36,0,3556.986,1851.54,3556.986,3598.411,0.81
windows,serial-load-2,140,0,2,2,140,140,40,20.0,100.0,1944.119,172.947,140,28.567,14.73,0,819.127,423.407,819.301,860.513,0.85
windows,serial-load-2,140,0,2,2,140,140,40,20.0,100.0,1928.333,156.822,140,29.952,14.997,0,822.064,429.599,823.646,865.597,0.797
windows,serial-load-4,140,0,4,4,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.535,0.694,41.862,0.699
windows,serial-load-4,140,0,4,4,140,140,0,0.0,0.0,0.0,,140,,,0,0.0,0.0,0.787,42.045,0.758
windows,serial-low-1,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.0,1.046,1.674,43.516,0.801
windows,serial-low-1,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,0.614,1.522,1.994,44.186,0.795
